tic,type,quantity,price,high,low,day
000776,buy,0,15.673738327249886,17.77,16.5,2024-10-08
002001,sell,100,21.948623245954515,22.59,20.98,2024-10-09
601336,buy,34,63.39202455992279,67.077486,60.773211,2024-10-09
601628,buy,0,46.32955863565206,47.01,42.67,2024-10-09
601319,buy,4,9.072792061162767,9.08293716,8.40286953,2024-10-09
300442,buy,0,36.89652100240812,36.84,33.01,2024-10-09
601877,buy,0,23.314072998566555,23.27,21.6,2024-10-09
600795,buy,0,5.127088665682822,5.05,4.82,2024-10-09
002905,buy,0,7.1414032856118865,6.88,6.44,2024-10-09
000776,buy,0,17.35066207639873,18.0,16.11,2024-10-09
002001,sell,100,23.136782362125814,23.1,21.89,2024-10-10
601336,buy,38,60.8380215649558,67.9600845,61.1514675,2024-10-10
601628,buy,-1,41.56245099386201,44.49,40.19,2024-10-10
601319,buy,4,8.18440557642755,8.7601932,7.93028016,2024-10-10
300442,buy,0,33.256193658623374,35.66,33.18,2024-10-10
601877,buy,0,21.633167373528707,22.48,21.48,2024-10-10
600795,buy,1,4.866391491517424,5.11,4.85,2024-10-10
002905,buy,0,6.409860021714121,6.52,6.14,2024-10-10
000776,buy,0,15.954892536066474,16.68,15.52,2024-10-10
002001,sell,100,21.898423999848454,22.83,22.32,2024-10-11
601336,buy,34,64.26422250778239,64.89620685,61.76928645,2024-10-11
601628,buy,0,42.004408194348215,42.88,41.1,2024-10-11
601319,buy,0,8.187944510830595,8.39134296,8.05707243,2024-10-11
300442,buy,0,34.093107991106805,32.05,28.97,2024-10-11
601877,buy,0,21.85484257861972,21.85,20.82,2024-10-11
600795,buy,0,4.993160635558888,5.05,4.84,2024-10-11
002905,buy,0,6.326907698102295,6.34,6.02,2024-10-11
000776,buy,0,15.48181203044951,15.72,15.08,2024-10-11
002001,sell,100,22.861251614517535,23.19,22.54,2024-10-14
601336,buy,36,61.90702652431228,63.7740459,61.025382,2024-10-14
601628,buy,1,40.93722141232342,43.23,41.48,2024-10-14
601319,buy,1,7.997231551279268,8.54118837,8.12623185,2024-10-14
300442,buy,0,30.532793460153044,30.57,28.43,2024-10-14
601877,buy,0,21.79166131556034,21.37,20.72,2024-10-14
600795,buy,1,4.899240176528692,5.01,4.83,2024-10-14
002905,buy,0,6.080582349188625,6.28,6.07,2024-10-14
000776,buy,0,15.10322791961953,15.5,14.72,2024-10-14
002001,sell,100,21.981687746532263,23.15,22.07,2024-10-15
601336,buy,35,62.532589648313866,64.051434,60.4706058,2024-10-15
601628,buy,0,42.405331488996744,43.41,41.79,2024-10-15
601319,buy,0,8.358087658136192,8.50660866,8.16081156,2024-10-15
300442,buy,0,30.297080488281793,32.04,29.57,2024-10-15
601877,buy,0,22.41951599344611,21.12,20.43,2024-10-15
600795,buy,1,4.9548811818333345,4.95,4.81,2024-10-15
002905,buy,0,6.278208020960446,6.42,6.17,2024-10-15
000776,buy,0,15.300916691415477,15.4,14.8,2024-10-15
002001,sell,100,23.167469940818847,22.25,21.76,2024-10-16
601336,buy,38,60.15093007012902,61.16407605,59.19714225,2024-10-16
601628,buy,0,41.38968573994934,42.49,41.11,2024-10-16
601319,buy,3,8.14773259659897,8.50660866,8.24149755,2024-10-16
300442,buy,0,28.75114097688347,30.25,29.29,2024-10-16
601877,buy,0,21.515577341914177,20.4,20.04,2024-10-16
600795,buy,0,4.821969696069136,4.85,4.77,2024-10-16
002905,buy,0,6.2846223226189615,6.35,6.14,2024-10-16
000776,buy,0,14.929727384001017,15.15,14.59,2024-10-16
002001,sell,100,22.539342103302477,23.06,21.91,2024-10-17
601336,buy,38,59.22592404134054,62.0088489,59.44931325,2024-10-17
601628,buy,0,41.994839398399925,44.1,41.81,2024-10-17
601319,buy,0,8.384870558481442,8.54118837,8.24149755,2024-10-17
300442,buy,0,28.9594260818325,30.97,29.57,2024-10-17
601877,buy,0,20.738944673761726,20.32,19.7,2024-10-17
600795,buy,0,4.830371392490343,4.9,4.77,2024-10-17
002905,buy,0,6.363034906312824,6.44,6.27,2024-10-17
000776,buy,0,15.074212528653442,15.26,14.8,2024-10-17
002001,sell,100,22.73811705838889,23.29,22.42,2024-10-18
601336,buy,38,59.5560760749992,64.051434,57.4697709,2024-10-18
601628,buy,0,42.14818873373792,44.11,40.95,2024-10-18
601319,buy,1,8.206559747181693,8.57576808,8.11470528,2024-10-18
300442,buy,0,29.834494116771964,33.77,29.73,2024-10-18
601877,buy,0,20.24574587550014,20.72,19.58,2024-10-18
600795,buy,0,4.7792378533585,4.87,4.7,2024-10-18
002905,buy,0,6.390956990271807,6.42,6.17,2024-10-18
000776,buy,0,15.103776749186219,16.17,14.68,2024-10-18
002001,sell,100,22.4416151364916,23.18,22.61,2024-10-21
601336,buy,35,62.99314013950188,62.75275335,61.025382,2024-10-21
601628,buy,0,43.15091588275507,43.96,42.29,2024-10-21
